#{"t_start": 1759989430.8115149, "env_id": "None"}
r,l,t
-7526.285897,45,1.610263
-3394.980009,16,1.977355
-2344.040873,17,2.338459
-13572.216253,46,2.953231
-12775.415982,108,4.245616
-233.158418,16,4.695846
-11948.944658,71,5.66852
-26505.037973,131,7.371029
-7396.676901,40,8.101799
-1365.600198,18,8.568024
-10590.366561,62,9.353165
-9007.700681,54,10.184379
-7277.519587,36,10.814289
-5686.742671,21,11.226772
-2541.265334,30,11.793705
-3808.936593,17,12.308006
-28588.476428,166,14.554024
-12812.176042,97,15.749992
-2130.117875,15,16.249323
-18063.0365,101,17.32805
-5316.813491,45,17.929394
-5984.594909,23,18.303169
-20607.994998,114,19.439393
-6857.013291,44,19.993901
-2310.823465,21,20.341167
-28545.480806,122,21.546005
-11424.465371,37,22.14611
-8368.628685,58,22.892073
-13920.485377,39,23.429801
-12423.888036,103,24.491953
-5001.7103,32,24.946775
-7837.452668,24,25.42433
-3928.72723,24,25.793425
-10859.649236,53,26.412982
-2428.406606,14,26.699932
-7937.431527,51,27.367967
-7932.712012,45,27.938782
-8334.281385,76,29.150819
100.187967,11,29.486653
483.1524,15,29.873298
2860.314785,54,30.859154
3517.650054,54,31.73365
3517.616007,54,32.620275
3506.925321,54,33.764954
3491.392168,54,34.596418
3506.645595,54,35.454828
3516.779658,54,36.304193
3515.676783,54,37.153876
3524.024098,54,38.215905
3521.670131,54,39.160769
3526.306696,54,40.054523
3520.672231,54,40.887607
3526.346771,54,41.752375
3525.920499,54,42.753641
3512.309546,54,43.947509
3502.68976,54,45.382762
3509.836121,54,46.485666
3510.831588,54,47.415326
3493.496811,54,48.262679
3498.787358,54,49.324426
3514.007004,54,50.390978
3141.664611,144,52.727932
2031.539537,118,54.773029
-1693.687663,252,59.241989
-123.04621,252,62.983982
1195.687455,252,66.840704
-1645.372987,252,71.140106
-157.682591,252,75.772537
-2654.77559,252,79.787223
1164.540312,170,82.409394
1431.227119,252,86.102243
10053.351817,108,87.941713
-676.637745,252,92.385198
825.985252,252,95.802307
-1937.835106,196,98.755775
4770.272081,103,100.406627
-1375.286771,252,104.102032
462.818914,252,108.521411
-500.374115,252,112.268667
2814.91525,222,115.679286
-3507.330184,252,119.118411
