#{"t_start": 1759989829.561061, "env_id": "None"}
r,l,t
4763.460787,109,2.474969
671.423404,22,3.058997
2902.129786,45,3.798522
2359.99574,43,4.502787
4871.999967,70,5.504851
-34.174875,10,5.979395
3113.224648,73,7.541006
598.463239,19,8.101586
1633.983233,56,9.187249
940.53839,23,9.756123
4946.34898,123,11.395588
1009.977114,67,12.301014
2556.518746,75,13.203667
1313.823828,30,13.688295
1635.266652,31,14.177722
2442.622251,84,15.1754
327.896772,19,15.656511
1536.067736,30,16.167455
5483.770091,100,17.556122
895.378684,22,18.064093
73.995449,26,18.655133
834.684263,45,19.416447
2858.971394,90,20.699592
485.11136,19,21.209433
-5.412572,14,21.604843
2377.612022,36,22.285056
1446.953382,45,23.033689
326.035179,18,23.481916
918.558468,23,23.95622
1559.95701,53,24.895957
291.518874,34,25.517843
956.849676,56,26.530952
244.799161,18,26.948435
5645.91113,99,28.416466
265.607717,27,29.07966
3718.77572,86,30.506589
3133.192424,71,31.825396
-208.816728,13,32.238754
3320.532824,57,33.323112
203.455133,16,33.759675
-15021.415357,161,36.913548
-18601.757078,40,38.107695
-12125.718936,58,39.563082
-2740.229367,26,40.417267
-2755.219133,26,41.284676
-4950.442624,30,42.100644
-4943.081558,30,42.851474
-2323.252182,31,43.560419
9047.344553,47,44.577687
9049.826541,47,45.693267
3622.574674,65,47.011301
3447.699957,54,48.52669
3451.705824,54,49.859114
3435.935293,54,51.039559
9051.002791,47,52.420413
3637.53911,65,54.296779
3458.746132,54,55.637079
3462.912658,54,56.69287
3694.846715,65,58.249779
3444.825562,54,59.577331
9050.936225,47,60.601755
3632.086269,65,61.856031
3433.792811,54,62.883952
3430.115139,54,63.861978
3625.297118,63,64.994614
1907.494159,29,65.65734
3647.433512,63,66.809483
4431.744414,119,69.166346
4062.450021,75,70.853785
3273.88057,135,73.740614
3075.033538,46,74.690638
9051.812345,47,75.62237
2004.457127,30,76.451152
2821.323635,42,77.462093
2469.070217,39,78.462431
4342.061145,90,80.270638
4910.778528,114,82.322642
1980.218626,32,83.226548
4304.7569,81,84.92405
1578.127279,29,85.68788
4877.76616,172,88.765963
5593.443815,116,90.970566
1825.520382,31,91.723104
4720.656223,94,93.37865
1879.866907,31,94.066942
1993.596056,32,94.784132
5037.66907,98,96.474333
5330.375547,217,100.220266
5774.775838,207,103.591674
5005.396384,118,105.536499
5073.900134,121,107.610722
10400.822281,89,109.252416
5130.982719,121,111.622228
9955.094272,63,112.86468
1423.485937,32,113.682667
4458.686353,252,117.69383
4479.222895,68,118.883197
2719.213654,252,123.488701
4832.809568,90,125.290251
3125.268906,42,126.128559
6161.343335,252,130.267505
5520.89936,252,134.455291
4263.38458,68,135.732212
4019.831664,62,136.803644
5650.061719,252,141.266543
3511.669373,252,145.542367
11924.028743,225,149.039477
4160.945601,60,150.209997
11013.150606,243,154.435736
5902.733697,252,159.388909
11283.089454,112,161.330586
4514.684454,252,166.235144
3292.415345,252,170.989706
3823.442582,252,176.334638
3348.492912,252,180.607272
2317.402899,47,181.560573
9261.953422,56,182.522455
9483.356557,60,183.644118
3913.622292,252,188.304221
5310.05159,252,193.038799
2897.169207,62,194.644449
10461.939488,79,196.127632
3630.60048,252,202.003375
4288.397954,252,207.207984
11311.979723,148,210.761649
5032.196758,207,215.129602
9698.554311,68,216.487168
3976.041124,252,220.97725
5199.783096,252,225.554472
4834.990811,252,231.03773
1132.131348,25,231.838669
1480.728328,30,232.662978
9632.327268,61,234.056187
1819.769273,35,234.783629
5451.432942,185,238.40472
9762.724498,68,239.663808
9643.808852,62,240.907743
9819.525649,71,242.3878
1707.201525,32,243.106495
12070.619929,194,246.503009
9683.131479,61,247.76725
9793.776576,69,249.144365
1603.053654,38,250.067278
10508.159271,76,251.557379
10311.0248,77,253.190728
9585.616519,59,254.475114
3253.970445,252,259.164036
5635.078848,252,263.320223
5130.170707,252,267.350429
9512.381665,63,268.465847
1434.236595,34,269.273217
1378.850059,30,270.021849
9216.669827,53,271.056268
9253.677348,56,272.130946
3405.398493,252,276.909649
9542.05924,59,278.136456
701.965538,18,278.641888
9720.696876,62,279.956971
10154.073419,71,281.266646
4141.423288,252,286.805434
4102.997865,252,293.167493
10479.024316,78,295.312122
9616.212543,61,296.858031
9258.024767,56,298.512647
9429.47755,59,299.769592
9486.677899,57,300.879874
10145.643673,74,302.365176
10178.884643,71,303.902175
9487.738398,59,305.078769
10314.734263,73,306.453835
9553.893419,60,307.690674
3615.712254,252,312.163912
9335.298347,57,313.545009
4289.493024,102,315.619634
9329.609062,53,316.73741
10186.445282,246,321.109847
3931.498302,249,325.390662
1357.946905,31,326.115601
9255.316356,54,327.290124
3987.986277,252,331.454534
1165.915605,28,332.170336
946.858376,22,332.785345
10244.495153,74,334.277002
4656.455666,123,336.419312
3697.967922,94,338.448539
10053.242021,73,339.988585
4679.770832,153,342.735175
4929.830933,252,348.605752
2949.8522,42,349.784628
2868.32223,41,350.815173
3463.241752,52,351.914765
418.430582,15,352.429181
5515.921159,127,354.705178
4357.81235,131,356.978654
6609.260801,252,361.307578
1774.786835,41,362.367414
5100.501387,252,367.301947
11721.259689,130,369.78791
5251.462537,179,372.974826
4974.397449,252,377.686445
12099.111787,190,381.162409
1452.456729,32,381.918821
1100.501615,28,382.54745
10691.641946,79,384.027432
788.984861,20,384.651507
10972.060432,245,389.039652
4451.912833,109,391.379961
3327.552469,50,392.49038
2966.919071,45,393.560494
9265.225748,58,394.828131
5492.130763,173,398.897912
3355.464348,238,404.858281
4979.040601,252,409.753292
9655.547881,62,411.129962
4502.739735,195,415.286722
9655.229828,64,416.721399
10440.209675,76,418.309918
10806.695664,82,420.061729
561.792359,18,420.654533
4125.055291,223,425.045646
9742.718246,63,426.396724
10802.657938,81,428.061325
4708.768897,252,433.348313
9716.074156,64,435.195958
3733.658515,230,439.889349
3943.387156,218,445.093381
10659.201359,95,447.47714
10742.058602,82,449.401172
3700.351285,252,454.586297
4786.58682,252,459.605914
5698.517395,252,464.848533
9231.485609,54,466.045338
10705.745737,79,467.754734
4380.676883,214,471.940668
9252.564774,55,473.192636
4130.095568,220,477.929864
9660.726731,64,479.577012
9465.899712,59,480.941869
938.25975,22,481.602433
2371.689293,138,484.475248
9375.892952,57,485.861545
5010.115355,252,490.918133
4335.205668,252,497.169497
4254.610615,128,500.691826
9959.788403,68,502.393794
9412.822382,60,503.809742
9626.380467,64,505.281237
5984.559791,252,510.621999
4973.785707,241,515.668926
10461.076858,73,517.527219
9335.617511,58,518.905197
3493.870349,252,524.152014
4151.315569,216,529.314379
4771.286013,252,534.444583
11079.047454,86,536.396138
9358.327014,57,537.803768
9225.660201,58,539.305458
9500.999733,61,540.684599
10644.121022,78,542.281413
9897.66196,67,543.839916
12143.957357,207,548.335161
4968.747512,179,552.167739
3607.199768,252,557.951157
9617.634048,60,559.407021
11448.390685,216,564.471141
9270.780218,58,565.840925
5212.409035,252,571.100035
9568.254938,64,572.572113
9515.480494,63,574.014612
9478.488769,64,575.48097
4933.605181,252,580.855973
9477.961078,62,582.273042
10748.809507,96,584.412374
5831.559507,252,591.390996
9537.177925,62,593.154413
10105.952281,71,594.912665
5470.85861,252,600.814026
6238.930144,252,608.250747
10299.484792,77,610.846147
3636.02788,252,616.438469
10612.885578,102,618.703573
9675.82747,64,620.674466
4922.188793,252,625.996785
10299.928693,71,627.661863
9406.692914,59,629.040961
4588.892095,252,634.47654
9836.612412,68,636.06972
10769.903757,101,638.365769
10624.509708,78,640.081644
9810.383143,66,641.558243
9759.383815,66,643.035286
4231.510619,122,645.592815
10715.743616,239,650.63702
9410.246497,60,652.407746
9841.55116,67,653.931751
3944.890296,252,658.944951
6252.585961,252,664.452315
3262.337628,139,667.376143
9691.403971,65,668.8593
9402.854084,59,670.288068
6107.23906,252,675.870302
9962.320239,70,677.590918
10088.144158,73,679.353125
11535.070451,129,682.451953
10446.367137,74,684.427042
6425.536482,252,688.888511
5496.011237,252,693.407143
4872.051251,207,697.37535
-5548.057803,252,701.881191
10224.681389,77,703.366283
4822.57725,168,706.347258
9991.60825,72,707.756688
5881.206954,252,712.417012
9552.361786,63,714.002698
5764.175892,252,718.735445
5191.10334,252,723.239503
10494.507164,75,724.760798
9374.303329,62,726.158789
5175.623735,252,730.609844
2558.088207,60,731.834716
10786.247819,80,733.363388
4484.410317,141,735.87165
4172.112912,252,740.570104
10004.686322,72,742.026731
6146.503229,252,746.979137
4633.445879,93,748.947964
4582.879621,108,751.152236
4487.054017,77,752.635244
10533.970424,250,757.321945
9595.178057,64,758.703619
10786.526803,80,760.333667
10695.905803,81,761.936142
10737.961211,247,766.359177
4605.435675,147,769.080665
5663.199641,252,773.418808
10968.722406,83,775.017088
9973.529794,72,776.673693
4416.532435,96,778.733584
3255.196523,51,779.897269
11504.568983,120,782.199443
4025.950223,90,783.877862
9283.481336,59,785.083283
4544.771748,252,790.102396
9923.863443,66,791.500821
10116.732108,75,793.000782
4945.934911,146,795.817807
10761.521779,84,797.584193
6265.519672,252,802.3331
4803.375338,252,807.082908
4956.413331,117,810.316391
9980.259473,67,812.702114
5831.173649,252,819.808732
10095.438004,75,822.06705
4419.048181,120,825.758654
10163.749552,79,827.799766
10749.761506,79,829.939575
9610.411196,60,831.454462
10506.722982,75,833.283778
1506.739249,28,834.125624
9830.434192,65,835.754886
10441.340061,247,841.962328
10157.062652,72,843.634943
4239.591932,189,847.811353
9657.326622,67,849.600721
9507.208838,64,851.20351
9483.570282,65,853.102411
9720.78646,70,854.911227
10066.107535,75,856.578023
10601.003288,79,859.071847
9488.772157,62,860.983629
4362.00624,90,863.405076
10846.206293,85,865.837572
9618.427146,61,867.87413
4439.020256,73,870.241155
5421.548309,252,876.963695
10737.407359,78,879.004614
9548.878581,64,880.74416
4364.87927,200,885.574465
12047.471043,176,889.531192
10105.844371,76,891.343957
4071.295927,252,897.76163
10228.260866,77,899.598108
9790.163154,63,901.228361
10132.057178,72,903.390485
10038.739267,74,905.679076
5680.699966,252,912.150008
1146.265352,24,912.969134
10679.967391,78,915.199983
4392.458918,103,918.380288
9984.670465,73,920.216249
10147.975215,75,922.15952
9531.826534,59,924.013689
10263.713478,75,926.552983
6181.082428,137,930.100326
9908.561788,66,931.75702
9577.980021,63,933.659675
9896.037501,70,935.681571
10021.153921,73,937.514529
4504.554479,91,939.719658
9931.65847,74,941.585376
10595.976099,83,943.473173
9647.353777,61,945.144605
4160.846923,88,947.200372
4807.652641,75,948.941675
9724.033271,61,950.413629
9776.765708,63,951.906017
10586.208496,79,953.750235
9770.281748,64,955.242569
9961.009137,66,956.767264
1379.896477,29,957.606602
9966.411524,72,959.256557
9876.116331,73,960.888047
10086.527693,74,962.55055
9579.690472,67,964.207364
9726.849269,69,966.118149
10552.963926,78,967.902802
9681.515103,62,969.384737
3634.038236,66,970.995874
9937.832323,70,972.605556
9624.928525,60,974.037792
9800.275618,64,975.477475
899.115589,21,976.170503
9525.487927,59,977.694773
5641.557027,252,983.51276
5071.726539,124,986.455897
11193.249016,96,988.901084
10076.551568,75,991.225678
661.3957,18,992.252492
9736.07435,71,994.11796
10036.974931,69,996.543204
10811.148723,82,998.742371
10046.711662,73,1000.867731
9544.307239,66,1002.702363
10023.58773,74,1004.853781
4452.951988,252,1010.362268
9891.342134,69,1011.981422
10502.917895,77,1013.708376
10555.011364,82,1015.601711
9628.352784,70,1017.242499
9777.293761,72,1018.913542
5524.372136,178,1022.860849
4705.174971,252,1028.576776
11624.724129,124,1031.296578
10203.649302,73,1032.964886
9683.968248,68,1034.479475
3979.794462,69,1036.267621
4660.579163,126,1039.14187
525.949612,17,1039.707889
895.123199,22,1040.369369
6020.610779,146,1043.511495
10042.830973,68,1045.072717
11474.880585,104,1047.367022
5792.313743,161,1051.022929
378.684182,15,1051.562108
10166.295361,70,1053.21992
5968.628102,252,1058.835228
562.802818,19,1059.456596
10209.738418,75,1061.15793
10886.769628,84,1063.10027
9620.022365,68,1064.671074
10423.994445,78,1066.637023
9966.215368,74,1068.631504
4658.601225,140,1071.946979
9846.991188,67,1073.583954
9949.773105,71,1075.320768
10638.049147,78,1077.229516
11046.706529,85,1079.183956
11029.59876,86,1081.16696
1993.251644,44,1082.287862
9698.524742,69,1083.861838
10693.070592,81,1085.72377
661.194275,19,1086.312119
10028.24754,81,1088.464225
10582.02792,92,1090.661299
10256.664322,92,1092.667172
9696.499502,72,1094.300771
4322.191296,66,1095.846558
10101.985857,74,1097.733658
11018.70728,94,1100.153579
10115.600783,76,1101.862383
9887.694801,66,1103.394333
10051.065192,73,1105.076253
10041.54677,68,1106.668469
10035.093908,73,1108.375806
9562.511886,67,1110.03133
3421.347494,252,1115.202214
10030.878637,68,1116.736242
10971.129514,94,1119.100551
9592.465337,66,1120.802409
9801.089963,64,1122.359516
732.409466,19,1123.108142
4354.087959,252,1128.464291
10883.127777,86,1130.52301
10142.334841,74,1132.466002
10595.156911,77,1134.53816
10845.263958,82,1136.494282
9464.993809,66,1138.025543
10285.464554,75,1139.749843
10712.64932,81,1141.591995
11350.897849,136,1144.391982
9880.851224,66,1145.771769
3306.41507,48,1146.871039
9998.25763,68,1148.342674
667.77789,19,1149.147646
9988.165699,69,1150.884496
570.720178,18,1151.431091
9951.986341,67,1152.86211
11073.045583,93,1154.802402
10514.28211,86,1156.602747
10097.574998,71,1158.211417
3997.400808,252,1163.073996
9771.069201,64,1164.389054
9623.533283,71,1165.812809
11216.851553,97,1167.773839
4219.559779,252,1172.441655
10044.458437,79,1174.084598
10136.556812,73,1175.753238
9537.789588,64,1177.169242
10108.398607,69,1178.644725
11210.116572,150,1181.878932
3671.289831,65,1183.298567
11233.160122,219,1187.754761
711.041467,21,1188.488985
4494.939116,108,1190.954493
11085.218613,88,1192.875251
10894.088971,82,1194.721169
10006.407661,83,1196.544577
9379.351804,62,1198.019338
3500.509284,252,1203.155037
11748.530506,175,1206.907172
4207.922628,119,1209.513108
4351.074099,252,1214.772711
5205.062376,148,1217.677726
9656.134923,68,1219.293286
10495.023786,90,1221.132904
12001.073068,160,1224.133973
4757.997519,226,1228.247377
3870.794961,252,1233.054265
10317.130801,81,1234.669844
11994.580336,161,1237.592563
2903.709379,252,1242.275881
4753.224535,252,1247.011314
1907.791659,44,1248.12913
9995.875962,73,1249.725165
11141.651051,140,1252.398671
4577.186871,252,1257.100732
4019.576954,252,1261.456426
3796.100662,252,1265.975806
9637.497043,68,1267.326224
3813.382704,252,1271.785367
10989.257922,87,1273.707476
10625.358849,91,1275.529903
11902.178732,168,1278.574336
4432.909438,252,1283.590021
9773.335731,71,1285.068077
10865.493142,84,1286.744872
9545.316921,67,1288.087184
1769.075239,41,1289.021795
11748.046213,145,1291.710626
11997.235884,171,1294.870135
10040.597678,72,1296.288703
11048.012457,87,1297.999043
5497.195473,127,1300.481434
11405.535588,226,1304.782765
9956.284787,72,1306.242095
10719.269094,81,1307.875558
9618.294185,64,1309.34748
5351.992261,252,1314.210612
1777.358089,32,1315.074206
10287.331839,95,1316.941589
4970.151522,106,1318.919426
10125.570489,73,1320.387781
10937.189969,85,1322.054509
10068.9124,72,1323.442945
10961.859677,89,1325.231211
10054.297027,71,1326.652324
11199.660776,93,1328.411511
10931.480387,84,1330.081237
10131.44648,75,1331.671726
729.42987,19,1332.228628
4230.472175,252,1337.037925
9593.348216,67,1338.396101
10228.462912,75,1339.867305
11805.217727,134,1342.462162
10052.298662,72,1344.038156
4141.545496,252,1348.554667
10283.119616,78,1350.098132
9947.658836,71,1351.521038
9465.745349,64,1352.828877
3725.896322,252,1357.290277
9994.576951,73,1358.760648
9540.625593,63,1360.212428
11726.20478,121,1362.443526
4034.523313,252,1367.111692
10068.117282,76,1368.678017
815.152392,22,1369.328535
9810.763426,67,1370.671377
10898.292166,83,1372.341444
5526.59724,252,1377.125036
10045.15346,72,1378.572633
541.501975,18,1379.075926
5836.204546,252,1383.600634
607.278756,19,1384.201646
10845.27852,101,1386.106383
9990.544619,70,1387.67349
10932.411312,98,1389.519706
9827.785953,67,1390.890674
9777.667442,67,1392.215238
2173.246091,38,1393.172403
9752.818181,77,1394.757778
2669.965158,44,1395.694753
2591.098581,45,1396.687994
4314.207662,252,1401.386039
10097.513669,72,1403.057999
10866.345254,86,1404.91726
858.784183,28,1405.748142
2437.317661,46,1406.785765
9731.618995,68,1408.070027
9994.827108,70,1409.477262
10104.086567,73,1410.961678
11041.531517,87,1412.570984
9739.530472,229,1416.82256
2110.20356,41,1417.729238
2432.57743,44,1418.711354
11029.860157,87,1420.433639
10268.979547,80,1421.981322
10951.183558,87,1423.744471
821.121456,22,1424.334813
4351.008329,252,1429.043535
10141.529463,74,1430.586562
2275.57898,44,1431.511001
