#{"t_start": 1760343927.40677, "env_id": "None"}
r,l,t
-25300.636411,102,1.925338
-7730.831049,33,2.477998
-5890.021877,11,2.756816
-4819.199202,19,3.09893
-6743.900475,34,3.575305
-15536.98771,75,4.566592
-9106.70472,33,5.138495
-20605.779097,105,6.332879
-4793.113377,27,6.79199
-8486.539346,66,7.631302
-4390.606842,15,7.974749
-9746.55296,153,9.523925
-16164.650182,78,10.356274
-29698.673861,98,11.472778
-9371.551671,65,12.255877
-14430.510342,36,12.735773
-3591.911624,15,13.057322
-10897.224231,74,13.901618
-6348.252579,28,14.419014
-31822.522252,137,15.949003
-15719.262467,73,17.125943
-7935.323216,34,17.788956
-2781.885844,16,18.173037
-18641.025074,120,19.915789
-10187.859778,40,20.457001
-26067.233224,154,22.358284
-3133.071755,18,22.705294
-38850.236564,178,24.647437
-13492.433057,55,25.289834
-6766.322402,58,26.012932
-35856.40754,148,28.491763
-4195.151902,53,29.716884
3856.17936,46,30.788929
2283.751391,32,31.474444
2279.530246,32,32.154723
2275.58644,32,32.909796
2279.402342,32,33.532822
2286.61721,32,34.259377
2275.026535,32,34.876036
2272.934304,32,35.428209
2287.762512,32,36.026046
2265.197632,32,36.604838
2288.359863,32,37.298504
2264.356295,32,38.073213
2275.246547,32,38.819573
2275.342254,32,39.423243
2282.788236,32,40.044085
2267.661488,32,40.652145
2286.09281,32,41.253855
2279.964907,32,41.902663
2277.923182,32,42.720545
2291.031508,32,43.347926
2286.90164,32,44.015357
2273.89503,32,44.623682
2295.054944,32,45.34103
2256.727885,32,46.02184
2274.193486,32,46.852943
2293.783811,32,47.573859
2275.888865,32,48.285833
2273.293461,32,48.98666
2282.418796,32,49.695295
2276.439577,32,50.61787
2276.454548,32,51.293141
2280.343864,32,51.901857
2271.148562,32,52.492753
2268.515836,32,53.099462
2297.928039,32,53.703039
2279.986465,32,54.458093
2265.496643,32,55.11791
2294.955874,32,55.900201
2253.931788,32,56.548596
2268.708686,32,57.200274
2298.309803,32,57.814332
2285.371676,32,58.554521
2267.407677,32,59.288201
2295.538419,32,59.961821
2278.633985,32,60.740479
2250.231542,32,61.431514
2294.819302,32,62.227069
2285.448314,32,63.106391
2262.980943,32,63.973998
2299.322058,32,64.723931
2286.926204,32,65.361348
2267.159197,33,65.994274
2110.988114,33,66.664552
2065.984722,33,67.314139
2266.579494,32,67.937414
2457.465164,34,68.590721
1880.845109,33,69.226989
1999.675176,33,69.941056
2360.762838,33,70.577132
2334.120694,33,71.191368
2102.111391,33,71.810799
2371.982215,33,72.426445
3193.004531,47,73.371068
3397.882031,47,74.213482
2261.209415,33,74.881773
3247.305653,46,75.697001
3477.120988,46,76.481323
3366.063215,46,77.282403
3414.153478,47,78.169926
3657.980362,48,79.236156
3342.029691,47,80.282492
4439.785548,87,81.969847
4517.201421,87,83.404249
4428.102577,90,84.849626
4008.144299,89,86.319162
4103.183333,89,87.9746
601.124571,25,88.505235
993.839974,26,89.047766
328.680753,26,89.604442
418.056026,26,90.153816
451.671468,27,90.739473
442.330594,25,91.287148
827.958032,25,91.810802
901.31446,26,92.350209
695.554059,26,92.919375
862.06104,27,93.4936
1545.673754,27,94.059528
1119.077466,28,94.658274
432.705304,27,95.344026
3370.397435,106,96.990123
1289.67238,28,97.581054
779.07944,31,98.233867
1459.064873,28,98.799214
1294.01043,26,99.34291
1569.385188,29,99.95957
1686.292095,29,100.569137
498.836519,29,101.170916
572.853529,27,101.759434
1465.552238,30,102.352202
1383.005851,28,102.939132
1710.957002,27,103.504468
1413.32724,31,104.252171
964.2206,28,104.832135
985.818142,28,105.424397
322.994119,30,106.026662
836.699422,28,106.599309
339.652269,27,107.171145
657.802143,30,107.807635
1096.432569,29,108.425173
1026.269204,28,109.039733
1646.542116,31,109.636715
1488.607406,30,110.389507
1184.251513,30,111.186154
1629.600315,31,111.927664
1841.783741,28,112.66539
1348.566035,28,113.435361
1473.541441,31,114.046458
3540.446711,101,115.674046
1423.426563,28,116.259973
-241.903074,31,116.854092
1488.642885,29,117.457203
860.101133,30,118.060899
1477.39482,30,118.691182
3646.002766,103,120.410718
1437.910748,29,121.025499
892.583851,30,121.635799
466.574998,29,122.241402
691.187552,28,122.801759
388.825034,29,123.508047
883.008872,28,124.074609
396.503217,29,124.673838
1107.088251,29,125.265927
1517.338903,30,125.86302
995.078253,30,126.466461
1172.407727,31,127.070984
860.478829,29,127.685582
1278.33016,29,128.278018
57.757202,28,128.843314
3740.056454,252,132.900082
2425.858611,207,136.149973
994.837948,30,136.759617
969.504259,32,137.453
710.045095,31,138.211998
1338.503266,33,138.874947
1112.808106,31,139.499844
3211.790104,166,142.370213
1660.69566,30,143.148778
1397.032268,29,143.864452
-715.982513,252,148.155473
1006.107041,30,148.789011
1648.82591,32,149.455155
1722.613483,30,150.068792
1173.642485,31,150.685113
3299.420038,168,153.396821
819.256398,246,157.437014
4523.028642,206,160.654685
3768.94076,252,164.567105
3606.151868,127,166.637458
-677.186176,252,170.465166
1275.290041,33,171.130797
1238.610973,38,171.934669
-64.745757,252,176.62288
626.145449,33,177.331703
1477.04927,34,178.059614
-916.615932,240,181.931415
3270.771247,116,183.824898
2981.712308,143,186.112869
621.126351,169,188.969204
3694.529879,93,190.510284
-2416.879795,252,194.454022
1530.750863,36,195.166875
1120.849092,113,197.040943
2064.46829,156,199.570817
2077.243394,77,200.867362
387.490335,252,205.173471
2933.939386,196,208.851148
-794.018297,252,212.951944
717.4622,252,216.941324
2927.390487,81,218.380655
-2248.938078,208,221.651487
2819.634777,76,223.184453
1059.75775,101,224.88588
-3669.534034,246,228.789414
3179.24352,100,230.469506
2445.086638,200,233.598153
2716.462733,80,235.177993
-424.200822,237,239.560287
-115.310539,218,242.946771
-135.842729,75,244.228032
1367.879299,102,245.88185
2518.566505,80,247.299422
2293.846839,219,250.754411
2207.491979,82,252.131445
3238.244934,77,253.575128
3174.609592,78,254.878789
2475.508438,78,256.257004
3215.921662,81,257.643873
7933.511841,81,259.077815
1153.578993,143,261.391055
2474.447153,80,262.756352
-1681.792893,228,266.666428
2828.00214,128,269.242924
2086.570548,115,271.170232
