#{"t_start": 1760348287.3870606, "env_id": "None"}
r,l,t
-1859.859795,24,2.029186
-1006.299527,56,3.555241
886.644607,38,4.576366
-563.923064,63,6.166024
-2021.214855,44,7.511034
-2797.407976,20,8.357851
-177.249317,13,9.095263
2777.209225,135,12.410096
-4402.978125,87,14.503139
-2872.181351,111,17.260338
-23840.430894,111,19.860934
-13395.711745,252,26.292022
-4737.426945,159,30.130744
-2223.150557,14,30.60628
-9005.218447,240,35.907011
-16845.272149,252,41.837337
5108.70655,106,44.426049
-7114.953084,252,50.327462
-1452.155133,246,56.173365
-5228.510271,252,61.671337
-10072.173538,252,67.23486
4053.123449,123,69.996057
8090.139434,98,72.231506
6971.136924,119,75.189057
8457.750812,113,77.750892
-1657.569133,53,79.074336
7141.835491,96,81.256433
4817.939681,159,84.825424
7552.360856,102,87.902969
2540.13252,118,90.660603
6365.969276,119,93.331231
7274.068701,114,96.360628
-3696.819398,252,102.885232
-439.911632,91,105.062721
3750.926452,99,107.449475
9587.476309,93,109.727121
-342.538212,84,111.948362
5062.92072,101,114.262302
9390.180459,116,117.132591
9229.902665,90,119.516333
9092.624267,116,122.16622
9551.250484,116,124.918279
8541.820614,115,127.516557
3603.063707,202,132.057947
-2979.360526,252,137.556677
-2756.252376,252,142.921587
8957.905552,99,145.486411
8048.464475,99,148.125236
8086.724624,101,150.806056
5459.092369,219,155.488338
9624.489444,116,158.339405
9705.99564,104,161.075814
7680.546647,169,164.868252
5699.828058,89,167.074236
493.932536,67,168.671672
8196.742111,92,170.983625
9994.806617,116,173.699281
7353.833648,102,176.115706
9935.070091,110,178.834902
9573.078817,106,181.621279
9038.254288,106,184.36497
9358.63515,108,186.788225
10397.713113,113,189.344571
6911.020024,198,193.886403
7405.503373,113,196.506158
8652.642074,98,198.785841
-5147.001994,252,204.432188
9518.529856,115,207.296242
5868.975889,134,210.525171
9657.501337,95,212.935663
9835.522382,118,215.66978
9819.110027,115,218.453752
8701.359356,111,221.152061
9771.088557,109,223.913356
8800.57292,114,226.575519
8562.678571,104,229.116129
8319.884492,105,231.639726
5564.540717,111,234.228707
9242.590651,112,236.853793
8282.208685,132,239.962292
6846.913534,144,243.680818
9747.728131,112,246.22414
9115.980488,102,248.640595
9368.095632,101,250.933803
8928.335774,124,254.080014
8990.830639,109,256.596306
9164.289301,95,258.832689
7103.961879,149,262.19421
9597.206154,105,264.670921
10091.221808,109,267.3103
9742.8606,105,269.897479
8585.804605,112,272.69061
9404.669995,109,275.38552
8135.271924,107,277.983475
9342.538862,113,280.540358
9056.669407,103,283.161145
9596.366601,99,285.545871
9506.247104,102,287.933347
8055.71038,127,290.963215
8526.864649,83,292.870815
9315.054134,83,295.082673
9441.979142,108,297.624568
9092.256315,96,299.955683
9697.084689,100,302.411188
753.80774,67,304.251004
8183.952148,159,307.785962
9095.34185,99,310.096515
9232.461371,95,312.234901
9551.25661,97,314.775269
9615.128963,99,317.037966
9255.248486,110,319.585893
8792.95431,107,322.091213
9365.302907,98,324.363343
10324.987403,99,326.847419
9843.56941,104,329.40131
9173.28289,97,331.750554
8063.25353,82,333.727273
7689.198798,113,336.62067
9785.676549,94,338.918889
10138.011128,111,341.511453
8283.066094,93,343.749043
8367.9415,96,346.113344
8666.306152,102,348.519443
10162.139147,102,351.046862
10333.892954,94,353.250946
10128.999437,109,355.756263
9276.035811,94,357.941776
9580.058806,94,360.094367
9085.060404,103,362.77781
9151.284399,111,365.526035
8700.730978,110,368.327378
10679.99052,111,370.889588
9805.631304,101,373.276949
9626.638096,97,375.900028
9913.978539,101,378.272766
10178.423921,95,380.539256
8874.006355,110,383.050293
9855.38947,129,385.994546
9825.077251,97,388.204551
9935.394198,93,390.315861
9277.046934,90,392.526384
9206.259551,93,394.69483
9321.297372,105,397.661221
9332.925892,95,399.959925
9779.356469,109,402.429225
9018.802572,97,404.70954
9917.917179,95,407.191015
10266.176079,108,409.824796
9331.129093,93,412.06281
10677.184774,107,414.548695
9171.66348,81,416.460179
9722.776484,94,418.662392
10270.708322,110,421.284002
9855.04029,99,423.813198
9691.287831,94,426.107944
9770.463974,89,428.683829
9503.458049,92,430.96336
9690.836069,96,433.239388
10366.030819,91,435.532656
10230.603336,94,438.06864
10784.55566,109,440.538288
-1411.319166,252,445.792106
9788.4032,79,447.713109
10121.127755,110,450.243397
8903.545185,82,452.188622
9111.937467,93,454.517879
10343.841655,95,456.732513
9955.942502,92,459.27911
9674.550115,96,461.578129
9095.372825,93,463.974693
6162.437091,229,469.132387
10282.783912,91,471.440709
-631.548327,252,476.753455
9619.618827,92,478.92069
9734.511008,93,481.256138
8658.712409,166,485.086318
10119.467541,107,487.552477
10245.491912,105,490.36954
9159.815418,83,492.381141
7288.336598,156,496.102722
10613.21012,105,498.784525
9932.760862,107,501.24424
7954.729764,125,504.103249
10429.130514,107,506.890752
9728.518515,94,509.133216
7459.976119,126,511.992104
7399.701327,158,515.527845
9530.509128,95,517.875579
10069.420007,94,520.200684
9789.445264,97,522.695511
9957.242723,95,524.956895
10137.265613,107,527.384839
10038.173053,92,529.833485
8818.947702,94,531.934424
9649.832694,76,533.696562
9916.552558,106,536.221188
9940.071322,106,538.617649
10524.895647,105,541.278829
10631.891854,104,543.811255
9999.529076,92,546.044485
9876.972672,92,548.207871
10417.706097,96,550.5404
10959.580146,106,553.49337
9432.251601,90,555.789373
10209.362968,92,558.054495
9256.598045,90,560.463252
9600.213097,95,562.688724
9770.516895,94,564.952316
-3611.380233,252,570.322818
9847.58228,91,572.47807
10259.355663,102,574.867363
10415.022558,92,577.390925
10416.345983,110,580.0496
9734.270282,106,582.736603
9563.755614,95,585.123787
9769.783053,91,587.252922
10413.472685,100,589.792733
9800.797317,94,592.10522
8126.890188,128,595.023186
10133.774406,94,597.248393
9313.107228,97,599.536561
9196.861658,79,601.499795
8651.359362,111,604.090636
9525.444965,105,606.62181
9748.08004,89,608.857049
10290.178049,92,611.009094
9742.701907,105,613.767187
1872.960885,251,619.404353
10136.352142,90,621.78806
6507.162235,167,625.475428
9432.42185,144,628.759885
10320.137931,95,631.029547
9716.908299,76,632.806726
10403.591608,105,635.278035
-1444.484439,252,640.804694
10587.762178,111,643.399056
10129.454787,89,645.977027
9862.549906,93,648.28085
10031.873736,90,650.621362
7557.831266,161,654.310524
10112.403769,91,656.46797
-2261.397755,252,662.027406
10342.402547,94,664.242729
10214.08379,92,666.444796
10317.235286,105,669.064318
10406.95862,107,671.556287
9808.145829,92,673.865566
9501.850551,78,675.78566
9765.278888,92,678.313102
9550.629848,79,680.265882
10212.644433,98,682.668576
10124.46801,89,684.923406
9863.514974,92,687.351551
9403.544073,79,689.417527
8021.778669,88,691.537941
9699.690289,90,693.779427
-693.97824,91,695.933741
9696.849972,93,698.382591
9222.836386,81,700.45779
10334.373978,91,702.682679
9360.874089,79,704.575831
8647.765899,144,708.040881
9841.19895,90,710.502221
9300.386722,78,712.644852
9910.710819,95,714.941479
9844.169325,91,717.097
10106.12476,90,719.435607
10295.34347,98,721.804059
9692.486201,124,724.703115
10302.549071,88,726.816112
9866.538376,91,729.040771
10002.730596,92,731.25221
10216.412299,92,733.410482
9292.501766,93,735.765281
9160.693775,80,737.699289
9908.580763,90,740.214985
10406.919957,95,742.496273
10601.821802,92,744.722187
9232.888229,78,746.504052
10449.657638,92,748.918182
9811.214946,97,751.571816
9496.052949,76,753.518076
9408.015192,86,755.667632
6001.950685,237,760.957621
10558.42912,93,763.105217
9701.280017,90,765.282496
7596.290452,104,767.715173
9858.864934,93,770.119667
8094.786675,191,774.677433
9070.828765,79,776.565393
10248.081144,90,778.714732
10160.641986,90,780.908869
10387.348796,92,783.241714
9439.855145,90,785.597446
10101.738166,96,787.956816
10501.138443,91,790.106112
10040.963924,97,792.480416
9259.078156,87,794.541123
10538.379278,95,796.944072
9633.329178,89,799.020113
10226.340199,101,801.623426
9795.153461,96,804.152054
10467.299375,93,806.424436
9445.238196,77,808.295313
9538.471796,89,810.507041
10187.46325,89,812.651721
8639.762989,81,814.605362
10222.751546,94,816.962952
10065.711039,91,819.06681
9873.810224,91,821.45477
9774.866049,91,823.599259
9654.054423,93,825.819236
9515.820892,92,827.965171
10058.253239,89,830.088473
9850.877207,108,833.112195
9943.925743,90,835.505917
10159.529481,93,837.698346
10223.362966,91,839.883396
9535.251238,102,842.22357
9783.109035,89,844.431087
8246.592964,135,847.579574
9796.196038,91,849.856483
9399.813778,94,852.101924
9947.406031,91,854.216958
8222.429862,103,856.715239
10436.73201,93,858.987243
9531.640047,118,861.655325
5408.615535,138,865.402005
8576.363371,83,867.512128
9443.635797,91,869.748674
10182.168546,90,871.987328
9733.106092,91,874.132816
9941.008177,92,876.300157
9825.198035,89,878.34587
5401.679235,170,882.276816
10055.480208,94,884.659522
10427.44888,92,886.861296
6856.306763,142,889.932063
10373.285094,94,892.143579
9806.26985,90,894.64536
9742.985376,92,897.276482
8966.481353,120,900.066617
10295.194126,89,902.21912
9878.001334,89,904.405308
7852.387057,139,907.650589
10231.448331,105,910.108131
9448.229841,93,912.368924
9461.35902,102,914.777297
10253.847827,88,916.839456
9855.979163,94,919.269439
10132.486185,88,921.347569
7879.81754,132,924.196627
9850.514443,112,927.262827
10264.734813,108,929.830731
10011.096034,104,932.238225
9472.014747,91,934.383896
10030.251444,92,936.463748
-131.959305,17,936.973837
9924.308755,91,939.200377
10213.464449,105,941.620653
10521.155925,94,944.063
9916.420382,106,946.514982
10679.713871,93,948.730948
8282.211012,129,951.826252
9486.09058,99,954.250556
10282.452693,100,956.782975
10589.811649,95,959.514092
9796.680395,91,961.691928
9868.943889,91,963.859782
9647.581567,91,966.065382
9956.660879,98,968.544123
9779.467453,93,970.771929
10451.280101,99,973.165899
9804.754511,101,975.597013
9895.253803,98,978.025494
10418.367256,105,980.523609
10235.588044,97,982.800606
9637.741278,88,985.056639
10147.533936,92,987.166633
9867.299483,100,990.05469
10678.652803,96,992.468952
8776.92938,93,994.667502
10023.623143,94,996.933264
10218.81509,91,999.086128
10061.394511,96,1001.371477
10051.193676,91,1003.577658
9862.496739,88,1005.779754
9455.530314,92,1008.041422
9827.917763,89,1010.217621
10027.674885,97,1012.554768
9762.904411,102,1015.076574
10281.160539,95,1017.669878
9618.521072,90,1020.117877
9882.387361,101,1022.716654
9735.430279,93,1024.899031
9968.345622,90,1027.021801
10070.362373,105,1029.550656
10176.991101,102,1031.973495
9698.709179,92,1034.254516
9155.617131,90,1036.443922
8241.457846,90,1038.561888
9910.941153,93,1040.885038
10745.91834,98,1043.212116
10227.04165,103,1045.575358
10037.901208,98,1048.032571
9931.365939,100,1050.481981
10245.936374,107,1053.713868
9884.202357,90,1055.967341
9710.852762,91,1058.233458
10205.575657,90,1060.455436
9795.849244,91,1062.665123
9401.179118,100,1065.103403
9457.839499,94,1067.518431
10170.98008,101,1069.949383
10146.212593,96,1072.296095
10046.316431,98,1074.642398
9424.306806,89,1076.878628
9939.159383,92,1079.107685
9521.189109,95,1081.726475
9699.900287,105,1084.556095
9295.425962,93,1086.783703
10091.394967,89,1088.929643
9323.215572,90,1091.076771
9627.135936,89,1093.179042
10383.005284,89,1095.312888
9674.506146,90,1097.431298
9802.484505,95,1099.663475
10068.995184,89,1101.828368
9906.610563,93,1104.191444
9547.701898,91,1106.362676
9202.081431,88,1108.440136
10077.784362,89,1110.5261
9937.784152,92,1113.322417
9618.407542,90,1115.810104
9606.77236,97,1118.154984
9767.194828,93,1120.35391
9286.08192,91,1122.517406
9416.59644,88,1124.541455
8688.426378,92,1126.716027
9505.134891,94,1129.207727
10183.913638,88,1131.297698
9649.486124,89,1133.435645
9356.761597,98,1135.751108
-192.012623,30,1136.577136
10114.836156,91,1138.927451
9648.404196,90,1141.259713
9504.011235,94,1144.121727
10380.585698,90,1146.417932
10292.495036,93,1148.585539
9550.770844,96,1150.892338
9782.52927,95,1153.27932
9744.683224,92,1155.587396
10647.793166,93,1157.79584
9371.729563,92,1160.036834
8340.912499,94,1162.265922
10053.758416,94,1164.629393
10306.049005,93,1166.916629
9308.548202,94,1169.102389
10534.884826,90,1171.25965
9431.850781,92,1173.687171
9746.246279,88,1176.248978
8253.235848,109,1178.929571
9513.232018,90,1181.074146
9979.130248,91,1183.203599
9492.942663,90,1185.348761
